Hall,Room,Type,Sqft,College,Region,Elevator,Bathroom,AC,Floor,FilePath
1901,111,SINGLE,122,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,112,DOUBLE,402,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,113,SINGLE,194,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,114,SINGLE,191,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,115,DOUBLE,380,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,116,SINGLE,183,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,117,DOUBLE,370,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,118,TRIPLE,427,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,119,DOUBLE,337,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,212,TRIPLE,378,UPPERCLASS,SLUMS,NO,FEMALE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,213,SINGLE,144,UPPERCLASS,SLUMS,NO,FEMALE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,214,SINGLE,153,UPPERCLASS,SLUMS,NO,FEMALE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,215,DOUBLE,349,UPPERCLASS,SLUMS,NO,FEMALE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,311,DOUBLE,363,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,312,DOUBLE,355,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,313,DOUBLE,364,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,314,SINGLE,185,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,411,TRIPLE,839,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,413,TRIPLE,459,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf
1901,121,SINGLE,122,UPPERCLASS,SLUMS,NO,MALE and FEMALE,NO,2,FloorPlan/UPPERCLASS/1901/2.pdf
1901,122,QUAD,503,UPPERCLASS,SLUMS,NO,MALE and FEMALE,NO,2,FloorPlan/UPPERCLASS/1901/2.pdf
1901,123,QUAD,502,UPPERCLASS,SLUMS,NO,MALE and FEMALE,NO,2,FloorPlan/UPPERCLASS/1901/2.pdf
1901,124,DOUBLE,336,UPPERCLASS,SLUMS,NO,MALE and FEMALE,NO,2,FloorPlan/UPPERCLASS/1901/2.pdf
