Hall,Room,Type,Sqft,College,Region,Elevator,Bathroom,AC,Floor,FilePath,Wawa,UStore,Nassau Street,Jadwin Gym,Frist,Street,EQuad,Dillon,RoomID
1901,101,TRIPLE,444,UPPERCLASS,SLUMS,NO,NONE,NO,0,FloorPlan/UPPERCLASS/1901/0.pdf,7,3,6,16,8,9,17,5,1901101
1901,102,DOUBLE,335,UPPERCLASS,SLUMS,NO,NONE,NO,0,FloorPlan/UPPERCLASS/1901/0.pdf,7,3,6,16,8,9,17,5,1901102
1901,103,SINGLE,155,UPPERCLASS,SLUMS,NO,NONE,NO,0,FloorPlan/UPPERCLASS/1901/0.pdf,7,3,6,16,8,9,17,5,1901103
1901,104,TRIPLE,404,UPPERCLASS,SLUMS,NO,NONE,NO,0,FloorPlan/UPPERCLASS/1901/0.pdf,7,3,6,16,8,9,17,5,1901104
1901,105,SINGLE,142,UPPERCLASS,SLUMS,NO,NONE,NO,0,FloorPlan/UPPERCLASS/1901/0.pdf,7,3,6,16,8,9,17,5,1901105
1901,111,SINGLE,122,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf,7,3,6,16,8,9,17,5,1901111
1901,112,DOUBLE,402,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf,7,3,6,16,8,9,17,5,1901112
1901,113,SINGLE,194,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf,7,3,6,16,8,9,17,5,1901113
1901,114,SINGLE,191,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf,7,3,6,16,8,9,17,5,1901114
1901,115,DOUBLE,380,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf,7,3,6,16,8,9,17,5,1901115
1901,116,SINGLE,183,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf,7,3,6,16,8,9,17,5,1901116
1901,117,DOUBLE,370,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf,7,3,6,16,8,9,17,5,1901117
1901,118,TRIPLE,427,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf,7,3,6,16,8,9,17,5,1901118
1901,119,DOUBLE,337,UPPERCLASS,SLUMS,NO,NONE,NO,1,FloorPlan/UPPERCLASS/1901/1.pdf,7,3,6,16,8,9,17,5,1901119
1901,121,SINGLE,122,UPPERCLASS,SLUMS,NO,MALE and FEMALE,NO,2,FloorPlan/UPPERCLASS/1901/2.pdf,7,3,6,16,8,9,17,5,1901121
1901,122,QUAD,503,UPPERCLASS,SLUMS,NO,MALE and FEMALE,NO,2,FloorPlan/UPPERCLASS/1901/2.pdf,7,3,6,16,8,9,17,5,1901122
1901,123,QUAD,502,UPPERCLASS,SLUMS,NO,MALE and FEMALE,NO,2,FloorPlan/UPPERCLASS/1901/2.pdf,7,3,6,16,8,9,17,5,1901123
1901,124,DOUBLE,336,UPPERCLASS,SLUMS,NO,MALE and FEMALE,NO,2,FloorPlan/UPPERCLASS/1901/2.pdf,7,3,6,16,8,9,17,5,1901124
1901,125,QUAD,498,UPPERCLASS,SLUMS,NO,MALE and FEMALE,NO,2,FloorPlan/UPPERCLASS/1901/2.pdf,7,3,6,16,8,9,17,5,1901125
